"","sex","edu","employed","bornin_canada","province","votechoice","income","age"
"60","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"61","Male",1,NA,1,"Ontario","Liberal Party","NA","NA"
"62","Female",1,0,1,"Ontario","NA","NA","NA"
"63","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"64","Male",1,1,1,"Ontario","NA","$50,000 to $74,999","NA"
"65","Female",1,1,1,"Ontario","NA","NA","NA"
"66","Male",0,1,1,"Ontario","Liberal Party","NA","NA"
"67","Female",1,0,0,"Ontario","Liberal Party","NA","NA"
"68","Female",1,1,1,"Ontario","NA","NA","NA"
"69","Female",0,0,1,"Ontario","NA","NA","NA"
"70","Female",0,1,1,"Ontario","NA","$25,000 to $49,999","NA"
"71","Female",0,1,1,"Ontario","Liberal Party","$125,000 and more","NA"
"72","Female",0,0,1,"Ontario","Liberal Party","Less than $25,000","NA"
"73","Female",1,1,NA,"Ontario","Conservative Party","NA","NA"
"74","Female",1,1,0,"Ontario","NA","NA","NA"
"75","Male",1,0,1,"Ontario","NA","NA","NA"
"76","Female",1,0,0,"Ontario","Liberal Party","NA","NA"
"77","Female",1,1,1,"Ontario","Conservative Party","NA","NA"
"78","Male",0,1,1,"Ontario","NA","$100,000 to $ 124,999","NA"
"79","Male",1,1,1,"Ontario","NA","$25,000 to $49,999","NA"
"80","Female",1,1,1,"Ontario","NA","NA","45 to 59"
"81","Female",1,0,1,"Quebec","Liberal Party","Less than $25,000","NA"
"82","Female",1,0,1,"Ontario","NA","NA","60 to 74"
"83","Female",1,1,1,"Ontario","NA","NA","18 to 29"
"84","Male",1,0,1,"British Columbia","Conservative Party","$75,000 to $99,999","45 to 59"
"85","Female",1,1,1,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"86","Male",1,1,1,"Ontario","NA","$125,000 and more","60 to 74"
"87","Female",1,1,0,"Ontario","Liberal Party","$50,000 to $74,999","18 to 29"
"88","Female",1,0,1,"Ontario","NA","Less than $25,000","NA"
"89","Male",1,0,1,"Alberta","Conservative Party","$125,000 and more","60 to 74"
"90","Female",0,0,1,"Saskatchewan","Conservative Party","NA","NA"
"91","Male",1,0,1,"Quebec","Conservative Party","NA","NA"
"92","Male",1,1,0,"British Columbia","Liberal Party","$50,000 to $74,999","NA"
"93","Male",1,1,1,"Quebec","NA","$125,000 and more","NA"
"94","Male",1,0,1,"Ontario","Conservative Party","$75,000 to $99,999","60 to 74"
"95","Male",1,1,1,"Alberta","Liberal Party","$50,000 to $74,999","30 to 44"
"96","Male",1,1,0,"Ontario","Liberal Party","$100,000 to $ 124,999","30 to 44"
"97","Male",1,0,1,"Ontario","Liberal Party","NA","NA"
"98","Male",1,1,1,"Ontario","Liberal Party","NA","NA"
"99","Female",1,0,0,"British Columbia","Liberal Party","NA","60 to 74"
"100","Female",1,0,1,"British Columbia","NA","NA","NA"
"101","Male",1,0,1,"Quebec","NA","$50,000 to $74,999","NA"
"102","Male",0,0,1,"Ontario","NA","Less than $25,000","30 to 44"
"103","Male",1,1,1,"Ontario","Conservative Party","$50,000 to $74,999","NA"
"104","Female",1,0,1,"Ontario","NA","$50,000 to $74,999","60 to 74"
"105","Female",1,0,1,"Alberta","NA","NA","60 to 74"
"106","Male",1,1,0,"Ontario","Liberal Party","$50,000 to $74,999","NA"
"107","Male",0,0,1,"Quebec","Conservative Party","$100,000 to $ 124,999","NA"
"108","Female",1,0,1,"British Columbia","NA","Less than $25,000","NA"
"109","Female",1,1,1,"Quebec","NA","$100,000 to $ 124,999","NA"
"110","Female",1,0,0,"Ontario","NA","NA","NA"
"111","Female",1,0,1,"Ontario","Liberal Party","Less than $25,000","NA"
"112","Female",1,1,1,"Alberta","Conservative Party","$75,000 to $99,999","NA"
"113","Female",1,0,1,"Manitoba","Liberal Party","NA","60 to 74"
"114","Female",1,0,0,"Ontario","NA","$25,000 to $49,999","60 to 74"
"115","Female",1,1,1,"Newfoundland and Labrador","Conservative Party","$75,000 to $99,999","60 to 74"
"116","Male",1,0,1,"Alberta","Liberal Party","NA","30 to 44"
"117","Male",1,0,1,"Saskatchewan","Liberal Party","NA","NA"
"118","Female",1,0,1,"Quebec","Liberal Party","Less than $25,000","NA"
"119","Male",1,1,1,"Quebec","Conservative Party","$25,000 to $49,999","45 to 59"
"120","Male",1,0,1,"British Columbia","NA","$25,000 to $49,999","45 to 59"
"121","Male",1,1,1,"Saskatchewan","Conservative Party","$125,000 and more","60 to 74"
"122","Male",0,0,1,"Quebec","NA","Less than $25,000","NA"
"123","Female",1,1,0,"Ontario","NA","$50,000 to $74,999","45 to 59"
"124","Male",1,0,1,"Nova Scotia","NA","$75,000 to $99,999","60 to 74"
"125","Female",1,1,1,"Ontario","NA","$25,000 to $49,999","45 to 59"
"126","Female",1,1,1,"Ontario","Conservative Party","NA","30 to 44"
"127","Male",0,1,0,"Quebec","NA","Less than $25,000","NA"
"128","Male",1,0,1,"Prince Edward Island","NA","$50,000 to $74,999","45 to 59"
"129","Male",1,0,0,"British Columbia","Conservative Party","$75,000 to $99,999","60 to 74"
"130","Male",1,0,1,"Alberta","Conservative Party","$100,000 to $ 124,999","60 to 74"
"131","Male",1,0,1,"Quebec","Conservative Party","$100,000 to $ 124,999","45 to 59"
"132","Male",1,1,0,"Ontario","Liberal Party","$100,000 to $ 124,999","18 to 29"
"133","Male",1,0,1,"Ontario","NA","$100,000 to $ 124,999","45 to 59"
"134","Male",1,0,1,"Ontario","Liberal Party","$25,000 to $49,999","NA"
"135","Male",1,0,1,"Alberta","Conservative Party","$25,000 to $49,999","60 to 74"
"136","Female",1,1,1,"Quebec","Conservative Party","$50,000 to $74,999","NA"
"137","Male",1,0,1,"Ontario","Conservative Party","NA","NA"
"138","Female",0,0,1,"Ontario","Conservative Party","$75,000 to $99,999","60 to 74"
"139","Male",1,0,1,"Ontario","NA","NA","NA"
"140","Female",0,0,1,"Quebec","NA","NA","NA"
"141","Female",1,1,1,"Quebec","Liberal Party","$50,000 to $74,999","NA"
"142","Female",0,0,1,"Ontario","Conservative Party","$25,000 to $49,999","NA"
"143","Male",1,1,1,"Nova Scotia","Conservative Party","NA","45 to 59"
"144","Female",1,1,1,"Ontario","Liberal Party","$50,000 to $74,999","45 to 59"
"145","Female",0,0,1,"Quebec","NA","$25,000 to $49,999","NA"
"146","Female",0,1,1,"Ontario","NA","$50,000 to $74,999","45 to 59"
"147","Female",1,0,1,"Manitoba","Liberal Party","$25,000 to $49,999","30 to 44"
"148","Male",1,1,1,"Quebec","NA","$75,000 to $99,999","NA"
"149","Female",1,1,1,"Alberta","Conservative Party","$125,000 and more","30 to 44"
"150","Female",1,0,1,"British Columbia","Conservative Party","NA","60 to 74"
"151","Female",1,1,1,"Quebec","Liberal Party","$25,000 to $49,999","45 to 59"
"152","Male",1,0,1,"British Columbia","Liberal Party","$75,000 to $99,999","60 to 74"
"153","Female",0,1,1,"Ontario","Liberal Party","NA","45 to 59"
"154","Male",1,1,1,"Nova Scotia","Liberal Party","$25,000 to $49,999","60 to 74"
"155","Female",0,0,1,"Quebec","Liberal Party","$50,000 to $74,999","NA"
"156","Female",1,1,1,"Quebec","Liberal Party","$75,000 to $99,999","NA"
"157","Female",1,1,1,"Manitoba","NA","NA","NA"
"158","Female",1,1,1,"Quebec","NA","$75,000 to $99,999","NA"
"159","Male",1,0,1,"Ontario","NA","$25,000 to $49,999","NA"
"160","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","30 to 44"
"161","Male",1,1,0,"New Brunswick","Liberal Party","$25,000 to $49,999","30 to 44"
"162","Male",1,0,0,"Alberta","Conservative Party","NA","45 to 59"
"163","Female",1,1,1,"Ontario","Conservative Party","$100,000 to $ 124,999","18 to 29"
"164","Female",0,0,1,"Quebec","Liberal Party","Less than $25,000","NA"
"165","Female",1,0,0,"Alberta","NA","$75,000 to $99,999","NA"
"166","Male",1,1,1,"Ontario","NA","$25,000 to $49,999","45 to 59"
"167","Female",1,1,0,"Ontario","Conservative Party","NA","30 to 44"
"168","Male",1,1,1,"Alberta","Liberal Party","$25,000 to $49,999","60 to 74"
"169","Male",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"170","Male",1,1,1,"Manitoba","Conservative Party","$50,000 to $74,999","NA"
"171","Male",1,1,1,"Manitoba","Liberal Party","$125,000 and more","NA"
"172","Female",0,0,1,"Manitoba","Conservative Party","NA","60 to 74"
"173","Female",1,1,1,"British Columbia","Liberal Party","$125,000 and more","45 to 59"
"174","Female",1,0,1,"Quebec","NA","Less than $25,000","NA"
"175","Female",0,NA,1,"Quebec","NA","NA","NA"
"176","Male",1,1,1,"Quebec","Conservative Party","Less than $25,000","NA"
"177","Male",1,0,1,"Ontario","NA","$75,000 to $99,999","60 to 74"
"178","Male",1,0,0,"Ontario","Conservative Party","NA","60 to 74"
"179","Male",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","45 to 59"
"180","Male",0,0,1,"Ontario","NA","$50,000 to $74,999","60 to 74"
"181","Female",1,0,1,"Quebec","Conservative Party","Less than $25,000","NA"
"182","Female",0,1,1,"Saskatchewan","NA","$75,000 to $99,999","NA"
"183","Female",1,1,1,"Quebec","Liberal Party","$125,000 and more","60 to 74"
"184","Male",1,0,1,"Ontario","Conservative Party","$75,000 to $99,999","75 and above"
"185","Male",1,0,0,"Ontario","NA","$100,000 to $ 124,999","NA"
"186","Female",1,1,1,"Ontario","NA","NA","30 to 44"
"187","Male",1,1,0,"Ontario","Conservative Party","$75,000 to $99,999","60 to 74"
"188","Female",1,0,1,"Ontario","NA","$75,000 to $99,999","NA"
"189","Male",1,0,0,"Ontario","Conservative Party","$100,000 to $ 124,999","NA"
"190","Female",1,0,1,"Quebec","Conservative Party","$25,000 to $49,999","NA"
"191","Female",0,0,1,"Ontario","NA","Less than $25,000","NA"
"192","Female",1,1,1,"Ontario","NA","NA","45 to 59"
"193","Male",0,0,1,"Ontario","Conservative Party","NA","75 and above"
"194","Female",0,0,1,"Nova Scotia","NA","$25,000 to $49,999","NA"
"195","Female",1,1,0,"Ontario","NA","NA","30 to 44"
"196","Male",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","NA"
"197","Male",1,0,1,"Nova Scotia","NA","$125,000 and more","45 to 59"
"198","Male",1,0,1,"Alberta","NA","NA","NA"
"199","Female",1,1,0,"Ontario","Liberal Party","$50,000 to $74,999","45 to 59"
"200","Male",1,0,1,"Ontario","Conservative Party","$25,000 to $49,999","75 and above"
"201","Male",NA,0,1,"Ontario","NA","NA","60 to 74"
"202","Male",1,0,0,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"203","Female",0,1,1,"Quebec","NA","$25,000 to $49,999","NA"
"204","Female",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","45 to 59"
"205","Male",0,1,1,"Ontario","NA","NA","45 to 59"
"206","Male",1,0,1,"Ontario","NA","$50,000 to $74,999","75 and above"
"207","Male",0,0,1,"Ontario","NA","$75,000 to $99,999","60 to 74"
"208","Male",1,0,1,"Ontario","Conservative Party","$125,000 and more","75 and above"
"209","Male",1,0,1,"British Columbia","NA","NA","60 to 74"
"210","Male",1,1,1,"Ontario","Liberal Party","$50,000 to $74,999","18 to 29"
"211","Male",1,1,1,"Ontario","Liberal Party","$50,000 to $74,999","NA"
"212","Female",0,0,1,"Ontario","Conservative Party","$75,000 to $99,999","60 to 74"
"213","Male",1,0,0,"Ontario","NA","Less than $25,000","NA"
"214","Female",1,1,0,"Ontario","Conservative Party","$50,000 to $74,999","45 to 59"
"215","Female",1,0,1,"Ontario","NA","$25,000 to $49,999","45 to 59"
"216","Male",1,0,1,"Quebec","Liberal Party","$50,000 to $74,999","NA"
"217","Female",0,1,1,"Ontario","Liberal Party","$25,000 to $49,999","18 to 29"
"218","Female",1,1,1,"Ontario","NA","$50,000 to $74,999","18 to 29"
"219","Male",1,0,1,"Quebec","Conservative Party","$50,000 to $74,999","NA"
"220","Male",1,1,1,"Ontario","Conservative Party","$100,000 to $ 124,999","60 to 74"
"221","Male",1,0,1,"New Brunswick","NA","$25,000 to $49,999","45 to 59"
"222","Female",1,0,1,"Quebec","NA","$25,000 to $49,999","NA"
"223","Male",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","60 to 74"
"224","Female",1,1,0,"Ontario","Liberal Party","$75,000 to $99,999","45 to 59"
"225","Male",1,1,1,"Ontario","NA","NA","30 to 44"
"226","Male",1,0,1,"Quebec","NA","$50,000 to $74,999","NA"
"227","Male",1,1,1,"Nova Scotia","NA","$50,000 to $74,999","45 to 59"
"228","Male",1,1,1,"Quebec","Conservative Party","$125,000 and more","NA"
"229","Female",0,1,1,"Quebec","NA","$100,000 to $ 124,999","NA"
"230","Male",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"231","Male",1,0,1,"Ontario","NA","NA","NA"
"232","Male",0,0,1,"Ontario","NA","NA","45 to 59"
"233","Female",0,0,0,"Ontario","NA","NA","30 to 44"
"234","Male",1,0,1,"Ontario","Conservative Party","$25,000 to $49,999","NA"
"235","Female",0,1,1,"Quebec","Liberal Party","Less than $25,000","NA"
"236","Male",0,0,1,"Ontario","Liberal Party","$50,000 to $74,999","30 to 44"
"237","Female",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","45 to 59"
"238","Male",1,0,1,"Quebec","NA","NA","NA"
"239","Female",1,0,0,"Ontario","NA","NA","NA"
"240","Male",1,0,1,"Ontario","Liberal Party","NA","75 and above"
"241","Female",1,0,0,"Saskatchewan","NA","Less than $25,000","NA"
"242","Male",1,0,1,"Ontario","NA","$125,000 and more","75 and above"
"243","Male",1,1,1,"Ontario","NA","$75,000 to $99,999","NA"
"244","Female",1,0,0,"Ontario","NA","$25,000 to $49,999","NA"
"245","Male",1,1,1,"Ontario","Liberal Party","$125,000 and more","30 to 44"
"246","Male",1,1,1,"Alberta","Conservative Party","$50,000 to $74,999","NA"
"247","Female",1,0,1,"Ontario","NA","$50,000 to $74,999","75 and above"
"248","Male",1,1,1,"Quebec","NA","NA","NA"
"249","Male",1,0,1,"Ontario","Liberal Party","$125,000 and more","45 to 59"
"250","Male",1,1,1,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"251","Male",1,1,1,"Newfoundland and Labrador","Conservative Party","Less than $25,000","60 to 74"
"252","Female",0,0,1,"Quebec","NA","Less than $25,000","NA"
"253","Female",0,0,1,"Ontario","NA","$25,000 to $49,999","60 to 74"
"254","Male",1,1,1,"Ontario","Liberal Party","$75,000 to $99,999","NA"
"255","Male",1,0,1,"Ontario","Liberal Party","$75,000 to $99,999","60 to 74"
"256","Female",0,1,1,"Quebec","NA","NA","NA"
"257","Female",1,1,0,"Ontario","Conservative Party","$75,000 to $99,999","30 to 44"
"258","Female",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","75 and above"
"259","Male",1,0,1,"Quebec","NA","Less than $25,000","NA"
"260","Male",0,0,1,"Quebec","Conservative Party","$25,000 to $49,999","NA"
"261","Male",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","30 to 44"
"262","Female",1,1,1,"British Columbia","Liberal Party","NA","NA"
"263","Female",1,0,1,"British Columbia","NA","NA","NA"
"264","Female",1,0,1,"British Columbia","NA","$25,000 to $49,999","NA"
"265","Female",1,0,1,"Quebec","Conservative Party","Less than $25,000","NA"
"266","NA",0,1,1,"New Brunswick","Conservative Party","$25,000 to $49,999","60 to 74"
"267","Female",1,1,1,"Quebec","NA","NA","30 to 44"
"268","Male",1,0,0,"Ontario","NA","Less than $25,000","60 to 74"
"269","Male",1,0,1,"Ontario","NA","NA","60 to 74"
"270","Male",0,1,1,"Ontario","Conservative Party","$50,000 to $74,999","30 to 44"
"271","Male",0,0,NA,"Quebec","NA","NA","NA"
"272","Female",1,1,1,"Quebec","Conservative Party","NA","NA"
"273","Male",1,1,1,"Ontario","NA","$25,000 to $49,999","30 to 44"
"274","Female",0,0,1,"Ontario","Liberal Party","$125,000 and more","NA"
"275","Female",1,0,1,"Quebec","Conservative Party","NA","NA"
"276","Female",1,0,1,"Ontario","Liberal Party","Less than $25,000","NA"
"277","Male",0,1,1,"Quebec","NA","$75,000 to $99,999","NA"
"278","Male",1,0,1,"New Brunswick","Conservative Party","$25,000 to $49,999","NA"
"279","Male",1,1,1,"Ontario","NA","$125,000 and more","NA"
"280","Male",0,1,1,"Prince Edward Island","Conservative Party","NA","30 to 44"
"281","Male",1,1,0,"Ontario","Liberal Party","NA","45 to 59"
"282","Female",0,0,1,"Quebec","NA","$25,000 to $49,999","NA"
"283","Male",1,1,1,"Ontario","Conservative Party","$75,000 to $99,999","45 to 59"
"284","Female",1,1,1,"Quebec","NA","NA","NA"
"285","Male",1,1,0,"Quebec","NA","NA","NA"
"286","Male",0,1,1,"Alberta","Liberal Party","$25,000 to $49,999","NA"
"287","Female",1,1,1,"Ontario","Liberal Party","$50,000 to $74,999","30 to 44"
"288","Female",1,1,0,"Ontario","Liberal Party","$100,000 to $ 124,999","NA"
"289","Female",0,0,1,"Ontario","Conservative Party","$50,000 to $74,999","60 to 74"
"290","Male",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"291","Female",1,0,1,"Quebec","NA","$75,000 to $99,999","NA"
"292","Female",1,1,1,"Quebec","NA","NA","NA"
"293","Female",1,0,0,"Ontario","NA","NA","NA"
"294","Male",1,0,1,"Nova Scotia","Conservative Party","$25,000 to $49,999","NA"
"295","Female",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","NA"
"296","Male",0,0,1,"Ontario","NA","Less than $25,000","NA"
"297","Male",1,0,1,"Ontario","Liberal Party","$75,000 to $99,999","60 to 74"
"298","Male",1,1,1,"Ontario","NA","NA","NA"
"299","Female",0,0,1,"Ontario","Conservative Party","Less than $25,000","60 to 74"
"300","Male",1,1,1,"Quebec","NA","$50,000 to $74,999","NA"
"301","Male",1,0,1,"Ontario","NA","$50,000 to $74,999","45 to 59"
"302","Male",1,0,1,"Prince Edward Island","Liberal Party","$100,000 to $ 124,999","NA"
"303","Male",1,1,1,"Ontario","NA","$50,000 to $74,999","NA"
"304","Male",1,1,1,"Quebec","NA","$50,000 to $74,999","NA"
"305","Male",1,1,1,"New Brunswick","NA","$25,000 to $49,999","45 to 59"
"306","Female",1,1,1,"New Brunswick","NA","NA","NA"
"307","Male",1,0,1,"Ontario","NA","NA","45 to 59"
"308","Female",1,1,0,"Ontario","Conservative Party","$125,000 and more","NA"
"309","Male",1,0,1,"Newfoundland and Labrador","Liberal Party","Less than $25,000","NA"
"310","Male",1,0,1,"Ontario","NA","$25,000 to $49,999","45 to 59"
"311","Female",1,1,1,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"312","Male",1,0,1,"Ontario","NA","$75,000 to $99,999","NA"
"313","Female",1,0,0,"Ontario","NA","$50,000 to $74,999","NA"
"314","Male",1,0,0,"Ontario","NA","NA","60 to 74"
"315","Male",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"316","Male",0,1,1,"Ontario","Conservative Party","$75,000 to $99,999","45 to 59"
"317","Male",1,1,1,"Quebec","NA","NA","NA"
"318","Male",1,1,1,"Alberta","Conservative Party","$25,000 to $49,999","NA"
"319","Male",1,0,1,"Newfoundland and Labrador","Liberal Party","$100,000 to $ 124,999","45 to 59"
"320","Female",1,1,1,"Quebec","NA","$75,000 to $99,999","NA"
"321","Male",0,0,1,"Ontario","Liberal Party","NA","NA"
"322","Female",1,1,1,"Quebec","NA","$25,000 to $49,999","NA"
"323","Female",1,0,1,"Quebec","Liberal Party","$50,000 to $74,999","60 to 74"
"324","Female",1,0,1,"Ontario","NA","$50,000 to $74,999","75 and above"
"325","Female",1,0,1,"Quebec","Liberal Party","$125,000 and more","NA"
"326","Male",1,0,1,"Quebec","NA","NA","NA"
"327","Female",1,1,0,"Ontario","Liberal Party","NA","45 to 59"
"328","Female",1,0,1,"Newfoundland and Labrador","Conservative Party","NA","60 to 74"
"329","Female",1,1,1,"Quebec","NA","NA","NA"
"330","Female",1,1,1,"Quebec","Conservative Party","$50,000 to $74,999","NA"
"331","Male",0,0,1,"Nova Scotia","Conservative Party","$50,000 to $74,999","75 and above"
"332","Female",1,0,1,"Ontario","Liberal Party","NA","60 to 74"
"333","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","30 to 44"
"334","Male",1,0,1,"Quebec","Conservative Party","Less than $25,000","NA"
"335","Female",1,0,1,"New Brunswick","Conservative Party","NA","60 to 74"
"336","Female",1,0,1,"Ontario","NA","$25,000 to $49,999","NA"
"337","Female",1,1,0,"Quebec","Liberal Party","NA","30 to 44"
"338","Male",1,0,0,"Ontario","NA","$100,000 to $ 124,999","60 to 74"
"339","Male",1,1,1,"Alberta","Conservative Party","Less than $25,000","NA"
"340","Male",1,0,1,"Ontario","Liberal Party","$50,000 to $74,999","NA"
"341","Female",1,0,1,"Ontario","Conservative Party","NA","60 to 74"
"342","Female",1,0,0,"Ontario","Liberal Party","NA","NA"
"343","Female",1,1,1,"Ontario","NA","NA","NA"
"344","Female",1,1,1,"Ontario","Conservative Party","$25,000 to $49,999","45 to 59"
"345","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"346","Male",0,0,1,"Alberta","NA","Less than $25,000","18 to 29"
"347","Male",1,1,1,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"348","Female",1,0,1,"Quebec","NA","NA","NA"
"349","Female",1,1,1,"Quebec","NA","$100,000 to $ 124,999","NA"
"350","Female",1,0,0,"Ontario","Conservative Party","NA","NA"
"351","Female",1,1,1,"Quebec","NA","NA","45 to 59"
"352","Female",1,0,0,"Quebec","Liberal Party","$25,000 to $49,999","NA"
"353","Female",0,0,1,"Quebec","Conservative Party","NA","NA"
"354","Female",1,1,1,"Quebec","Liberal Party","$50,000 to $74,999","NA"
"355","Female",1,1,1,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"356","Female",1,0,1,"Ontario","NA","$75,000 to $99,999","60 to 74"
"357","Female",1,0,1,"Ontario","Liberal Party","NA","60 to 74"
"358","Female",0,0,0,"Ontario","Liberal Party","$50,000 to $74,999","60 to 74"
"359","Male",1,0,1,"Quebec","NA","$25,000 to $49,999","NA"
"360","Male",1,0,1,"Ontario","Conservative Party","Less than $25,000","30 to 44"
"361","Female",0,0,1,"Quebec","Conservative Party","$25,000 to $49,999","30 to 44"
"362","Female",1,1,1,"Quebec","Conservative Party","$100,000 to $ 124,999","NA"
"363","Female",1,1,1,"New Brunswick","Liberal Party","NA","45 to 59"
"364","Male",1,0,1,"Newfoundland and Labrador","Liberal Party","Less than $25,000","NA"
"365","Male",1,1,1,"Quebec","NA","$100,000 to $ 124,999","NA"
"366","Female",1,0,1,"Quebec","NA","$25,000 to $49,999","NA"
"367","Male",1,0,0,"Ontario","Liberal Party","NA","75 and above"
"368","Female",1,0,1,"Ontario","NA","NA","NA"
"369","Male",1,1,1,"Ontario","NA","$25,000 to $49,999","NA"
"370","Female",1,0,0,"Ontario","Conservative Party","$100,000 to $ 124,999","45 to 59"
"371","Female",0,0,1,"Quebec","Conservative Party","$50,000 to $74,999","NA"
"372","Female",1,1,1,"Ontario","Liberal Party","$125,000 and more","60 to 74"
"373","Male",1,1,1,"Ontario","Conservative Party","$125,000 and more","45 to 59"
"374","Female",1,NA,1,"Quebec","NA","NA","NA"
"375","Male",1,1,0,"Ontario","NA","$50,000 to $74,999","45 to 59"
"376","Female",1,0,1,"Ontario","NA","NA","45 to 59"
"377","Male",1,0,1,"Ontario","Liberal Party","$75,000 to $99,999","60 to 74"
"378","Female",1,0,1,"Ontario","NA","NA","45 to 59"
"379","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","30 to 44"
"380","Male",1,1,1,"British Columbia","Conservative Party","$75,000 to $99,999","45 to 59"
"381","Male",1,0,1,"Ontario","NA","$75,000 to $99,999","60 to 74"
"382","Female",0,1,1,"British Columbia","NA","Less than $25,000","NA"
